EBM-Ziffer;EBM_Bezeichnung;Punktzahl;EBM_Betrag;Waehrung;Zusatzkennzeichen;gueltigab;gueltigbis;geaendert
"01605";"Höchstwert für die Gebührenordnungspositionen 01600 bis 01601";"258";"0";"";"";"20200401";"99991231";"20200518"
"01610";"Bescheinigung zur Belastungsgrenze";"14";"0";"";"";"20131001";"99991231";"20131001"
"01611";"Verordnung von medizinischer Rehabilitation";"302";"0";"";"";"20131001";"99991231";"20131001"
"01612";"Konsiliarbericht vor Psychotherapie";"37";"0";"";"";"20131001";"99991231";"20131001"
"01620";"Bescheinigung oder Zeugnis";"30";"0";"";"";"20131001";"20131231";"20131001"
"01620";"Bescheinigung oder Zeugnis";"30";"0";"";"";"20140101";"99991231";"20140101"
"01621";"Krankheitsbericht";"44";"0";"";"";"20131001";"99991231";"20131001"
"01622";"Kurplan, Gutachten, Stellungnahme";"83";"0";"";"";"20131001";"99991231";"20131001"
"01623";"Kurvorschlag";"53";"0";"";"";"20131001";"99991231";"20131001"
"01624";"Verordnung medizinischer Vorsorge für Mütter oder Väter";"210";"0";"";"";"20181001";"99991231";"20181001"
"01626";"Ärztliche Stellungnahme für die Krankenkasse bei der Beantragung einer Genehmigung zur Verordnung von Cannabis";"143";"0";"EUR";"";"20171001";"99991231";"20180321"
"01630";"Zuschlag für Erstellung eines Medikationsplans";"39";"0";"EUR";"";"20161001";"99991231";"20170101"
"01640";"Zuschlag für die Anlage eines Notfalldatensatzes";"160";"0";"";" ";"20201020";"20211019";"20210701"
"01640";"Zuschlag für die Anlage eines Notfalldatensatzes";"80";"0";"";"";"20211020";"99991231";"20210602"
"01640";"Zuschlag für die Anlage eines Notfalldatensatzes";"80";"0";"";"";"20180101";"20201019";"20210101"
"01641";"Zuschlag Notfalldatensatz";"4";"0";"EUR";"";"20180101";"99991231";"20180321"
"01642";"Löschen eines Notfalldatensatzes";"1";"0";"EUR";"";"20180101";"99991231";"20180321"
"01645";"Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des Gemeinsamen Bundesausschusses zum Zweitmeinungsverfahren";"75";"0";"";"";"20190101";"99991231";"20190404"
"01647";"Zusatzpauschale ePA-Unterstützungsleistung";"15";"0";"";"";"20210101";"99991231";"20210602"
"01648";"Zusatzpauschale ePA-Erstbefüllung";"89";"0";"";"";"20220101";"99991231";"20220323"
"01650";"Zuschlag Qesü-RL, Verfahren 2, Anlage II Buchstabe e";"47";"0";"";"";"20180101";"20181231";"20190916"
"01650";"Zuschlag DeQS-RL, Verfahren 2, Anlage II Buchstabe e";"47";"0";"";"";"20190101";"99991231";"20190916"
"01660";"Zuschlag zur eArztbrief-Versandpauschale";"1";"0";"";"";"20200701";"99991231";"20200804"
"01670";"Einholung eines Telekonsiliums";"110";"0";"";"";"20201001";"99991231";"20201023"
"01671";"Telekonsiliarische Beurteilung";"128";"0";"";"";"20201001";"99991231";"20201023"
"01672";"Zuschlag zur Gebührenordnungsposition 01671";"65";"0";"";"";"20201001";"99991231";"20201023"
"01699";"Zuschlag zur GOP 01700";"6";"0";"";"";"20200701";"99991231";"20200804"
"01700";"Grundpauschale für Fachärzte für Laboratoriumsmedizin u.a.";"23";"0";"";"";"20131001";"99991231";"20131001"
"01701";"Grundpauschale für Vertragsärzte aus nicht in der Nr. 01700 aufgeführten Arztgruppen";"5";"0";"";"";"20131001";"99991231";"20131001"
"01702";"Beratung im Rahmen des Pulsoxymetrie-Screenings gemäß Kinder-Richtlinie";"28";"0";"";"";"20170701";"99991231";"19000101"
"01703";"Pulsoxymetrie-Screening gemäß Kinder-Richtlinie";"157";"0";"";"";"20170701";"99991231";"19000101"
